"deviceName","softwareName","softwareVendor","softwareVersion"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","apparmor_for_linux","ubuntu","4.0.1really4.0.1-0ubuntu0.24.04.4"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","apport_for_linux","ubuntu","2.28.1-0ubuntu3.8"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","apport-core-dump-handler_for_linux","ubuntu","2.28.1-0ubuntu3.8"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","apt_for_linux","ubuntu","2.8.3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","apt-transport-https_for_linux","ubuntu","2.8.3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","apt-utils_for_linux","ubuntu","2.8.3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","base-files_for_linux","ubuntu","13ubuntu10.3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","bash_for_linux","ubuntu","5.2.21-2ubuntu4"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","bind9-dnsutils_for_linux","ubuntu","1:9.18.39-0ubuntu0.24.04.2"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","bind9-host_for_linux","ubuntu","1:9.18.39-0ubuntu0.24.04.2"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","bind9-libs_for_linux","ubuntu","1:9.18.39-0ubuntu0.24.04.2"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","binutils_for_linux","ubuntu","2.42-4ubuntu2.8"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","binutils-common_for_linux","ubuntu","2.42-4ubuntu2.8"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","binutils-x86-64-linux-gnu_for_linux","ubuntu","2.42-4ubuntu2.8"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","bsdextrautils_for_linux","ubuntu","2.39.3-9ubuntu6.3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","bsdutils_for_linux","ubuntu","1:2.39.3-9ubuntu6.3"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","busybox-initramfs_for_linux","ubuntu","1:1.36.1-6ubuntu3.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","busybox-static_for_linux","ubuntu","1:1.36.1-6ubuntu3.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","byobu_for_linux","ubuntu","6.11-0ubuntu1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","bzip2_for_linux","ubuntu","1.0.8-5.1build0.1"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","ca-certificates_for_linux","ubuntu","20240203"
"zolab-sl-client-01.1p252f5c0pjefk2syq4ftiuwoe.cx.internal.cloudapp.net","caca-utils_for_linux","ubuntu","0.99.beta20-4build2"
